Entry,SIDC
GROUND TRACK EQUIPMENT WEAPONS RIFLE/AUTOMATIC WEAPON,S*G*EWR---
GROUND TRACK EQUIPMENT WEAPONS RIFLE/AUTOMATIC WEAPON RIFLE,S*G*EWRR--
GROUND TRACK EQUIPMENT WEAPONS RIFLE/AUTOMATIC WEAPON LIGHT MACHINE GUN,S*G*EWRL--
GROUND TRACK EQUIPMENT WEAPONS RIFLE/AUTOMATIC WEAPON HEAVY MACHINE GUN,S*G*EWRH--
GROUND TRACK EQUIPMENT WEAPONS GRENADE LAUNCHER,S*G*EWZ---
GROUND TRACK EQUIPMENT WEAPONS GRENADE LAUNCHER GRENADE LAUNCHER LIGHT,S*G*EWZL--
GROUND TRACK EQUIPMENT WEAPONS GRENADE LAUNCHER GRENADE LAUNCHER MEDIUM,S*G*EWZM--
GROUND TRACK EQUIPMENT WEAPONS GRENADE LAUNCHER GRENADE LAUNCHER HEAVY,S*G*EWZH--
GROUND TRACK EQUIPMENT WEAPONS MORTAR,S*G*EWO---
GROUND TRACK EQUIPMENT WEAPONS MORTAR MORTAR LIGHT,S*G*EWOL--
GROUND TRACK EQUIPMENT WEAPONS MORTAR MORTAR MEDIUM,S*G*EWOM--
GROUND TRACK EQUIPMENT WEAPONS MORTAR MORTAR HEAVY,S*G*EWOH--
GROUND TRACK EQUIPMENT WEAPONS HOWITZER,S*G*EWH---
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER LIGHT,S*G*EWHL--
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER LIGHT HOWITZER LIGHT SELF-PROPELLED,S*G*EWHLS-
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER MEDIUM,S*G*EWHM--
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER MEDIUM HOWITZER MEDIUM SELF-PROPELLED,S*G*EWHMS-
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER HEAVY,S*G*EWHH--
GROUND TRACK EQUIPMENT WEAPONS HOWITZER HOWITZER HEAVY HOWITZER HEAVY SELF-PROPELLED,S*G*EWHHS-
GROUND TRACK EQUIPMENT WEAPONS ANTITANK GUN,S*G*EWG---
GROUND TRACK EQUIPMENT WEAPONS ANTITANK GUN ANTITANK GUN RECOILLESS,S*G*EWGR--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK GUN ANTITANK GUN LIGHT,S*G*EWGL--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK GUN ANTITANK GUN MEDIUM,S*G*EWGM--
GROUND TRACK EQUIPMENT WEAPONS ANTITANK GUN ANTITANK GUN HEAVY,S*G*EWGH--
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN,S*G*EWD---
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN LIGHT,S*G*EWDL--
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN LIGHT DIRECT FIRE GUN LIGHT SELF-PROPELLED,S*G*EWDLS-
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN MEDIUM,S*G*EWDM--
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN MEDIUM DIRECT FIRE GUN MEDIUM SELF-PROPELLED,S*G*EWDMS-
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN HEAVY,S*G*EWDH--
GROUND TRACK EQUIPMENT WEAPONS DIRECT FIRE GUN DIRECT FIRE GUN HEAVY DIRECT FIRE GUN HEAVY SELF-PROPELLED,S*G*EWDHS-
GROUND TRACK EQUIPMENT WEAPONS AIR DEFENCE GUN,S*G*EWA---
GROUND TRACK EQUIPMENT WEAPONS AIR DEFENCE GUN AIR DEFENCE GUN LIGHT,S*G*EWAL--
GROUND TRACK EQUIPMENT WEAPONS AIR DEFENCE GUN AIR DEFENCE GUN MEDIUM,S*G*EWAM--
GROUND TRACK EQUIPMENT WEAPONS AIR DEFENCE GUN AIR DEFENCE GUN HEAVY,S*G*EWAH--
GROUND TRACK EQUIPMENT GROUND VEHICLE,S*G*EV----
GROUND TRACK EQUIPMENT GROUND VEHICLE ARMOURED VEHICLE,S*G*EVA---
