Entry,SIDC
AIR TRACK MILITARY ROTARY WING CARGO AIRLIFT (TRANSPORT) CARGO AIRLIFT (LIGHT),S*A*MHCL--
AIR TRACK MILITARY ROTARY WING CARGO AIRLIFT (TRANSPORT) CARGO AIRLIFT (MEDIUM),S*A*MHCM--
AIR TRACK MILITARY ROTARY WING CARGO AIRLIFT (TRANSPORT) CARGO AIRLIFT (HEAVY),S*A*MHCH--
AIR TRACK MILITARY ROTARY WING TRAINER,S*A*MHT---
AIR TRACK MILITARY ROTARY WING MEDEVAC,S*A*MHO---
AIR TRACK MILITARY ROTARY WING SPECIAL OPERATIONS FORCE (SOF),S*A*MHM---
AIR TRACK MILITARY ROTARY WING AIRBORNE COMMAND POST (C2),S*A*MHD---
AIR TRACK MILITARY ROTARY WING TANKER,S*A*MHK---
AIR TRACK MILITARY ROTARY WING ELECTRONIC COUNTER MEASURES (ECM/JAMMER),S*A*MHJ---
AIR TRACK MILITARY LIGHTER THAN AIR,S*A*ML----
AIR TRACK WEAPON,S*A*W-----
AIR TRACK WEAPON MISSILE IN FLIGHT,S*A*WM----
AIR TRACK WEAPON MISSILE IN FLIGHT SURFACE/LAND LAUNCHED MISSILE,S*A*WMS---
AIR TRACK WEAPON MISSILE IN FLIGHT SURFACE/LAND LAUNCHED MISSILE SURFACE TO SURFACE MISSILE (SSM),S*A*WMSS--
AIR TRACK WEAPON MISSILE IN FLIGHT SURFACE/LAND LAUNCHED MISSILE SURFACE TO AIR MISSILE (SAM),S*A*WMSA--
AIR TRACK WEAPON MISSILE IN FLIGHT AIR LAUNCHED MISSILE,S*A*WMA---
AIR TRACK WEAPON MISSILE IN FLIGHT AIR LAUNCHED MISSILE AIR TO SURFACE MISSILE (ASM),S*A*WMAS--
AIR TRACK WEAPON MISSILE IN FLIGHT AIR LAUNCHED MISSILE AIR TO AIR MISSILE (AAM),S*A*WMAA--
AIR TRACK WEAPON MISSILE IN FLIGHT SUBSURFACE TO SURFACE MISSILE (S/SSM),S*A*WMU---
AIR TRACK WEAPON MISSILE IN FLIGHT LAND ATTACK MISSILE,S*A*WML---
AIR TRACK WEAPON DECOY,S*A*WD----
AIR TRACK CIVIL AIRCRAFT,S*A*C-----
AIR TRACK CIVIL AIRCRAFT FIXED WING,S*A*CF----
AIR TRACK CIVIL AIRCRAFT ROTARY WING,S*A*CH----
AIR TRACK CIVIL AIRCRAFT LIGHTER THAN AIR,S*A*CL----
SPACE TRACK,S*P*------
SPACE TRACK SATELLITE,S*P*S-----
SPACE TRACK CREWED SPACE VEHICLE,S*P*V-----
SPACE TRACK SPACE STATION,S*P*T-----
